title,beds,bath,area,adress,type,purpose,flooPlan,url,lastUpdated,price
Apartment For Rent In Uttara Nearby Mollartek Udayan School And College,3,3,"1,250 sqft","Sector 4, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1558228-240x180.webp,https://www.bproperty.com/en/property/details-1864249.html,"November 17, 2022",50 Thousand
"Grab This, Flat Up For Rent In Gulshan 2 Near Green Dale Int School",3,4,"1,800 sqft","Gulshan 2, Gulshan, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1412204-400x300.webp,https://www.bproperty.com/en/property/details-1875759.html,"January 8, 2023",2 Lakh
"An Apartment Is Ready For Rent At Uttara , Near Rajuk Uttara Ideal High School.",2,2,"1,500 sqft","Sector 13, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1257631-400x300.webp,https://www.bproperty.com/en/property/details-1963566.html,"January 22, 2023",22 Thousand
"An Apartment For Rent Is All Set For You To Settle In Mirpur Close To Al-arafah Islami Bank Limited, Mirpur-1 Branch Atm",2,2,"1,250 sqft","Shah Ali Bag, Section 1, Mirpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1194867-400x300.webp,https://www.bproperty.com/en/property/details-1828416.html,"January 15, 2023",13 Thousand
Well Organized Flat Of 1200 Sq Ft Is Now Vacant For Rent In Modhubag Near By Hazipara Cng Filling Station,3,2,"1,250 sqft","Modhubag, Boro Maghbazar, Maghbazar, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1194867-400x300.webp,https://www.bproperty.com/en/property/details-5300053.html,"January 23, 2023",21 Thousand
"A Cozy Apartment Of 850 Sq Ft Is For Rent At North Road, Dhanmondi",2,2,"1,350 sqft","Dhanmondi, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1510449-400x300.webp,https://www.bproperty.com/en/property/details-4524824.html,"January 23, 2023",22 Thousand
1400 Square Feet Apartment Is For Rent Near By Jafrabad Government Primary School,3,3,,"Sher-E-Bangla Road, Dhanmondi, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1-240x180.webp,https://www.bproperty.com/en/property/details-2056299.html,"January 23, 2023",32 Thousand
Seize This 710 Sq Ft Flat Up For Rent In Uttara-7,1 Bed,2,"1,240 sqft","Sector 7, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1565147-400x300.webp,https://www.bproperty.com/en/property/details-3042199.html,"January 23, 2023",21 Thousand
Offering You A 1050 Sq Ft Flat For Rent In Mohammadpur Near To Mohammadpur Shia Masjid,3,2,,"Block A, Nobodoy Housing Society, Mohammadpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1-240x180.webp,https://www.bproperty.com/en/property/details-1815156.html,"July 17, 2022",16 Thousand
3000 Sq. Ft. flat is now up to Rent located near to City Bank in Gulshan,4,4,"1,350 sqft","Gulshan 2, Gulshan, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1510449-400x300.webp,https://www.bproperty.com/en/property/details-2009879.html,"January 21, 2023",1.5 Lakh
